Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática
3508_1079_7112.py,24,15,15,4,5,5
3508_1079_7107.py,23,15,15,4,4,7
3508_1079_7229.py,21,15,15,3,3,7
3508_1079_7171.py,23,15,15,4,4,7
3508_1079_3799.py,23,15,15,4,4,7
3508_1079_2927.py,23,15,15,4,4,7
3508_1079_7105.py,33,25,25,4,4,13
3508_1079_5998.py,23,15,15,4,4,7
3508_1079_6165.py,23,15,15,4,4,7
3508_1079_4646.py,23,15,15,4,4,7
3508_1079_7101.py,23,15,15,4,4,7
3508_1079_7185.py,23,15,15,4,4,7
3508_1079_7106.py,18,15,15,0,3,7
3508_1079_7212.py,23,15,15,4,4,7
3508_1079_7108.py,25,15,15,4,6,7
3508_1079_6615.py,22,22,22,0,0,16
3508_1079_7102.py,18,15,15,0,3,7
3508_1079_7111.py,23,15,15,4,4,7
3508_1079_7214.py,23,15,15,4,4,5
3508_1079_7104.py,23,15,15,4,4,7
3508_1079_7188.py,20,15,15,2,3,7
chat_gpt.py,15,11,11,2,2,7
3508_1079_5664.py,23,15,15,4,4,7
3508_1079_7103.py,23,15,15,4,4,7
3508_1079_7109.py,26,15,15,4,7,7
3508_1079_7190.py,23,15,15,3,5,7
