Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática
3508_1099_7212.py,18,16,16,0,2,15
3508_1099_7214.py,19,14,14,2,3,9
3508_1099_7109.py,17,14,14,0,3,9
3508_1099_7229.py,19,16,16,0,3,13
3508_1099_4646.py,19,17,17,2,0,14
3508_1099_3799.py,18,13,13,2,3,12
3508_1099_7185.py,22,17,17,2,3,12
3508_1099_7188.py,19,16,16,2,1,12
3508_1099_7108.py,29,20,20,0,9,11
3508_1099_5998.py,20,17,17,0,3,11
3508_1099_7171.py,20,13,13,2,5,8
3508_1099_7104.py,21,17,17,0,4,12
3508_1099_6615.py,13,13,13,0,0,22
3508_1099_7106.py,20,13,13,0,7,9
3508_1099_7111.py,16,13,13,2,1,11
3508_1099_6165.py,23,18,18,2,3,13
3508_1099_7102.py,15,13,13,0,2,9
3508_1099_7190.py,21,16,16,0,5,12
3508_1099_7103.py,29,16,16,2,11,12
3508_1099_5664.py,19,15,15,2,2,9
chat_gpt.py,10,9,9,0,1,5
3508_1099_7101.py,20,18,18,0,2,12
3508_1099_7112.py,29,14,14,2,13,9
3508_1099_7107.py,23,13,13,0,10,9
3508_1099_2927.py,21,14,14,2,5,16
3508_1099_7105.py,17,13,13,2,2,18
