Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática
3619_1605_6615.py,18,18,18,0,0,6
3619_1605_7101.py,13,13,13,0,0,5
3619_1605_7185.py,29,13,13,4,14,5
3619_1605_7229.py,21,15,15,0,6,6
3619_1605_7105.py,14,13,13,0,1,5
3619_1605_7106.py,22,15,15,0,7,6
3619_1605_5664.py,22,15,15,0,7,6
3619_1605_7111.py,18,16,16,0,2,6
3619_1605_7188.py,16,15,15,0,1,6
3619_1605_6165.py,18,15,15,0,3,6
3619_1605_5998.py,14,13,13,0,1,6
3619_1605_2927.py,19,15,15,0,4,6
3619_1605_7107.py,25,15,15,0,10,6
3619_1605_7104.py,15,13,13,0,2,6
3619_1605_7102.py,14,13,13,0,1,6
3619_1605_7103.py,18,13,13,0,5,5
3619_1605_7190.py,19,14,14,0,5,5
3619_1605_7108.py,21,15,15,0,6,5
3619_1605_7171.py,22,15,15,2,5,6
chat_gpt.py,39,20,20,9,10,1
3619_1605_7212.py,26,15,15,0,11,6
3619_1605_7214.py,18,15,15,0,3,6
3619_1605_7112.py,15,13,13,0,2,6
3619_1605_3799.py,18,18,18,0,0,6
