Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática,Número de Variáveis
3357_825_7214.py,12,6,6,3,3,1,3
3357_825_7104.py,8,6,6,0,2,1,3
3357_825_3799.py,9,6,6,3,0,1,3
3357_825_2927.py,10,6,6,3,1,1,3
3357_825_7107.py,11,6,6,0,5,1,3
3357_825_6615.py,11,6,6,0,5,1,3
3357_825_4646.py,10,6,6,3,1,1,3
3357_825_7101.py,9,6,6,3,0,1,3
3357_825_7185.py,10,6,6,3,1,1,3
3357_825_7105.py,11,6,6,3,2,1,3
3357_825_7187.py,12,6,6,0,6,1,3
3357_825_7103.py,9,6,6,3,0,1,3
3357_825_6119.py,9,6,6,0,3,1,3
3357_825_7102.py,6,6,6,0,0,1,3
3357_825_7188.py,8,6,6,0,2,1,3
3357_825_7111.py,14,6,6,5,3,1,3
3357_825_7108.py,6,6,6,0,0,1,3
3357_825_7112.py,8,6,6,0,2,1,3
3357_825_7212.py,6,6,6,0,0,1,3
3357_825_7229.py,9,6,6,0,3,1,3
3357_825_7109.py,16,7,6,0,3,1,3
3357_825_1226.py,6,6,6,0,0,1,3
3357_825_7100.py,462,6,6,0,456,1,3
3357_825_5664.py,11,6,6,3,2,1,3
3357_825_6026.py,11,6,6,3,2,1,3
chat_gpt.py,9,6,6,0,3,1,3
3357_825_5998.py,10,6,6,3,1,1,3
3357_825_6165.py,13,6,6,3,4,1,3
3357_825_7171.py,12,6,6,3,3,1,3
3357_825_7190.py,11,6,6,3,2,1,3
3357_825_7106.py,7,6,6,0,1,1,3
