Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática
3451_2445_7112.py,11,7,7,0,4,3
3451_2445_7107.py,10,8,8,0,2,2
3451_2445_7190.py,19,9,9,0,10,3
3451_2445_6615.py,9,8,8,0,1,2
3451_2445_7101.py,8,8,8,0,0,2
3451_2445_7171.py,12,8,8,1,3,2
3451_2445_6026.py,9,8,8,0,1,2
3451_2445_7105.py,12,9,9,0,3,2
3451_2445_6493.py,9,9,9,0,0,3
3451_2445_7106.py,9,8,8,0,1,2
3451_2445_7104.py,9,8,8,0,1,2
3451_2445_7185.py,9,9,9,0,0,3
3451_2445_5664.py,11,7,7,0,4,3
3451_2445_7188.py,9,8,8,0,1,2
3451_2445_6165.py,9,8,8,0,1,2
3451_2445_7229.py,10,8,8,0,2,2
3451_2445_7103.py,12,8,8,0,4,2
3451_2445_7102.py,11,8,8,0,3,2
3451_2445_2927.py,9,8,8,0,1,2
3451_2445_5998.py,10,7,7,0,3,3
chat_gpt.py,12,10,10,0,2,3
3451_2445_7214.py,10,7,7,0,3,2
3451_2445_7111.py,8,8,8,0,0,2
3451_2445_3799.py,7,7,7,0,0,2
3451_2445_7212.py,8,8,8,0,0,2
3451_2445_7109.py,9,8,8,0,1,2
3451_2445_4646.py,10,8,8,0,2,2
3451_2445_7108.py,16,8,8,0,8,3
