Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática,Número de Variáveis
3357_2938_7101.py,9,6,6,3,0,1,4
3357_2938_7190.py,9,6,6,0,3,1,4
3357_2938_5664.py,9,6,6,0,3,1,4
3357_2938_7214.py,8,6,6,0,2,1,4
3357_2938_7107.py,9,6,6,0,3,1,4
3357_2938_1226.py,9,6,6,0,3,1,4
3357_2938_7171.py,9,6,6,1,2,1,4
3357_2938_6119.py,9,6,6,0,3,1,4
3357_2938_7185.py,6,6,6,0,0,1,4
3357_2938_7108.py,7,6,6,0,1,1,4
3357_2938_7109.py,11,8,7,0,2,1,5
3357_2938_2927.py,9,6,6,0,3,1,4
3357_2938_3799.py,6,6,6,0,0,1,4
3357_2938_7212.py,8,6,6,0,2,1,4
3357_2938_7102.py,8,6,6,0,2,1,4
3357_2938_5998.py,7,6,6,0,1,1,4
3357_2938_6615.py,9,6,6,0,3,1,4
3357_2938_7100.py,2,2,2,0,0,1,2
3357_2938_4646.py,7,6,6,0,1,1,4
3357_2938_7106.py,7,6,6,0,1,1,4
3357_2938_6026.py,10,7,7,0,3,1,5
3357_2938_7103.py,6,6,6,0,0,1,4
3357_2938_7111.py,10,6,6,2,2,1,4
3357_2938_7188.py,7,6,6,0,1,1,4
3357_2938_7105.py,8,6,6,0,2,1,4
3357_2938_7229.py,6,6,6,0,0,1,4
3357_2938_6165.py,10,7,7,0,3,1,5
chat_gpt.py,17,8,8,4,5,1,6
3357_2938_7112.py,12,7,7,0,5,1,5
3357_2938_7104.py,8,6,6,0,2,1,4
3357_2938_7187.py,9,6,6,0,3,1,4
