Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática,Número de Variáveis
3451_1397_7229.py,8,6,6,0,2,2,2
3451_1397_7214.py,11,10,10,0,1,2,6
3451_1397_7106.py,13,10,10,0,3,2,6
3451_1397_7103.py,9,8,8,0,1,2,4
3451_1397_7109.py,9,9,9,0,0,2,5
3451_1397_7102.py,10,8,8,0,2,2,4
3451_1397_7190.py,13,9,9,0,4,2,5
3451_1397_7105.py,7,6,6,0,1,3,3
3451_1397_7104.py,11,10,10,0,1,2,6
3451_1397_7171.py,11,6,6,1,4,2,3
3451_1397_6026.py,11,10,10,0,1,2,6
3451_1397_2927.py,8,8,8,0,0,2,4
3451_1397_7101.py,8,7,7,1,0,2,3
3451_1397_7212.py,8,6,6,0,2,2,2
3451_1397_6493.py,7,7,7,0,0,2,4
3451_1397_5998.py,10,7,7,0,3,2,4
3451_1397_7107.py,10,7,7,0,3,2,3
3451_1397_7112.py,10,8,8,0,2,3,5
chat_gpt.py,9,7,7,0,2,2,4
3451_1397_4646.py,8,8,8,0,0,2,4
3451_1397_7108.py,15,8,8,0,7,2,4
3451_1397_3799.py,6,6,6,0,0,2,3
3451_1397_6165.py,9,8,8,0,1,2,4
3451_1397_6615.py,11,9,9,0,2,2,5
3451_1397_7185.py,8,8,8,0,0,2,4
3451_1397_7111.py,9,8,8,0,1,2,4
3451_1397_7188.py,5,5,5,0,0,2,1
3451_1397_5664.py,8,6,6,0,2,3,3
