Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática,Número de Variáveis
3342_2897_7185.py,8,3,3,3,2,1,2
3342_2897_2927.py,7,2,2,3,2,1,1
3342_2897_7106.py,2,2,2,0,0,1,1
3342_2897_7105.py,7,2,2,3,2,1,1
3342_2897_7171.py,7,2,2,3,2,1,1
3342_2897_7111.py,7,3,3,3,1,1,2
3342_2897_6026.py,7,2,2,3,2,1,1
3342_2897_7112.py,7,2,2,3,2,1,1
3342_2897_7188.py,7,3,3,3,1,1,2
3342_2897_7107.py,7,2,2,3,2,1,1
3342_2897_7190.py,7,2,2,3,2,1,1
3342_2897_4646.py,7,2,2,3,2,1,1
3342_2897_7102.py,7,2,2,3,2,1,1
3342_2897_7108.py,7,3,3,3,1,1,2
3342_2897_7101.py,6,2,2,0,4,1,1
3342_2897_3799.py,7,2,2,3,2,1,1
3342_2897_7100.py,6,2,2,3,1,1,1
3342_2897_7109.py,7,3,3,3,1,1,2
3342_2897_5998.py,7,2,2,3,2,1,1
3342_2897_7103.py,5,2,2,0,3,1,1
chat_gpt.py,3,3,3,0,0,1,2
3342_2897_6615.py,3,2,2,0,1,1,1
