Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática
3342_2896_7103.py,3,2,2,0,1,1
3342_2896_7185.py,7,2,2,3,2,1
3342_2896_6026.py,7,2,2,3,2,1
3342_2896_7109.py,7,2,2,3,2,1
3342_2896_7190.py,7,2,2,3,2,1
3342_2896_4646.py,7,2,2,3,2,1
3342_2896_5998.py,7,2,2,3,2,1
3342_2896_3799.py,7,2,2,3,2,1
3342_2896_7107.py,7,2,2,3,2,1
3342_2896_7188.py,7,2,2,3,2,1
3342_2896_7101.py,7,2,2,3,2,1
3342_2896_7171.py,7,2,2,3,2,1
3342_2896_6615.py,4,2,2,0,2,1
3342_2896_7108.py,7,2,2,3,2,1
3342_2896_2927.py,7,2,2,3,2,1
3342_2896_7112.py,7,2,2,3,2,1
3342_2896_7111.py,7,2,2,3,2,1
chat_gpy.py,2,2,2,0,0,1
3342_2896_7106.py,2,2,2,0,0,1
3342_2896_7102.py,7,2,2,3,2,1
3342_2896_7100.py,7,2,2,3,2,1
3342_2896_7105.py,7,2,2,3,2,1
