Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática
3619_1186_7190.py,36,31,29,0,7,13
3619_1186_7214.py,14,14,12,0,2,3
3619_1186_7171.py,30,40,27,1,2,13
3619_1186_6615.py,29,32,29,0,0,13
3619_1186_7103.py,36,31,29,0,7,13
3619_1186_3799.py,32,33,30,0,2,13
3619_1186_7229.py,33,30,29,0,4,14
3619_1186_6165.py,31,30,28,0,3,13
3619_1186_7107.py,43,30,29,0,14,14
3619_1186_5664.py,40,27,26,0,14,13
3619_1186_7212.py,43,30,29,0,14,14
3619_1186_7101.py,26,38,26,0,0,13
3619_1186_7104.py,16,14,12,0,4,3
3619_1186_5998.py,32,30,28,0,4,13
3619_1186_7111.py,32,32,29,0,3,13
3619_1186_7108.py,31,30,28,0,3,13
3619_1186_4646.py,0,0,0,0,0,0
3619_1186_7185.py,53,27,27,0,26,13
3619_1186_7112.py,16,14,12,0,4,3
chat_gpt.py,9,6,6,0,3,1
3619_1186_7105.py,30,29,28,0,2,25
3619_1186_7106.py,44,40,28,0,16,13
3619_1186_2927.py,34,31,29,0,5,13
3619_1186_7188.py,29,30,28,0,1,13
